text_y,circumstantial-information,electricity,gas,gasoline,social-report,twitter-account,water
"#1abr  en  foto  la  fuerte  cola  que  se  registro  en  horas  de  la  magnana  en  la  bomba  de  gasolina  en  la  parroquia  #lavega  sector  #montalban  #caracas    en  el  distribuidor  la  yaguara  #singasolina    
",2,0,0,2,1,0,0
"#22nov  #guayana  alta  vista    los  olivos    castillito    villa  colombia    villa  asia    villa  alianza    villa  brasil  #sinluz
",2,1,0,0,0,0,0
"#28dic  #singasolina    #ciudadguayana  deberian  ver  las  colas  aqui  haciendo  una  desde  las  6  de  la  tarde  el  viernes  27  para  equipar  el  lunes  30  ya  hay  aproximadamente  300  carros  y  sigu    
",4,0,0,1,2,0,0
"#ahora  estaciones  esperando  por  la  cisterna  en  pto  ordaz    morochas  av    atlantico    la  de  los  olivos  villa  africana    las  americas  subiendo  a  alta  vista  y  la  que  esta  frente  a  c  alta  vista  2    #singasolina  #guayana  10  28  am
",4,0,0,2,0,0,0
"#carabobo  #singasolina  imposible  salir  en  vehiculos  a  buscar  alimentos  y  agua  potable    #venezuela  tierra  de  zombies  #thewalkingdead
",1,0,0,1,1,0,0
"#denuncia  en  varias  parroquias  del  oeste  de  #caracas  se  reportan  largas  colas  para  surtir  de  gasolina  y  hay  otras  donde  se  encuentran  cerrada  por  estar  #singasolina    la  crisis  del  combustible  llego  a  la  capital    por  culpa  de  un  regimen  corrupto  increible  y  somos  un  pais  petrolero
",1,0,0,2,3,0,0
"#singasolina@dmurolo  la  cola  llega  al  km18  #pnm  imagino  sera  por  la  bomba  gasolina
",1,0,0,2,1,0,0
"#sinluz  #lacabagna  #laboyera  #elhatillo  @elhatillo  @elhatillano  @eliasayegh  desde    hace  una  hora
",2,1,0,0,0,0,0
"#sinluz  esta  usted  y  su  falla  debe  ser  neurologica  ahora  apoya  a  cfk      pregunta  como  anda  su  pyme  de  35  asesores        
",0,2,0,0,2,0,0
"#sinluz  los  caobos    sabana  grande    la  florida    la  campigna        se  fue  por  fases  porque  hay  edificios  que  si  tienen  energia  electrica
",2,1,0,0,0,0,0
"#sinluz  terrazas  del  club  hipico      calle  bolivia  
",1,1,0,0,0,0,0
"#sinluz  valle  de  la  pascua  desde  las  7  00  am
",2,1,0,0,0,0,0
"#sinluzencuarentena  #sinagua  #singasolina  asi  tenemos  que  aguantar  el  #coronavirusvenezuela  #covid19
",0,1,0,1,1,0,1
"15  horas  #sinluz  y  de  paso  sin  gas    y  si  eso  no  fuera  suficiente  3  meses  y  19  dias  #sinagua  agoniza  la  mal  querida  paraguana    #20s
",3,1,1,0,1,0,1
"20  horas        #sinluz
",1,1,0,0,0,0,0
"@corpoeleccar_  7  hrs  continuas  #sinluz  y  nada  
",1,1,0,0,1,0,0
"@corpoeleczulia_  @fbritomaestre  @drodriguezven  #sinluz  #sinluz  @corpoeleczulia_    parroquia  chiquinquira  sin  electricidad    sector  grano  de  oro  #maracaibo  #sinluz  #corpoeleczulia_  desde  las  07  10  pm  #nomasracionamiento
",3,2,0,0,0,0,0
"@corpoeleczulia_  dios  mioo  que  pasa  sigue  el  viacrusis  desde  840pm  #sinluz  en  circuito  las  marias  pongan  la  luz  por  favor  el  calor  es  insoportable  @corpoelecinfo  @fbritomaestre  @mppeevzla  @omarprietogob  @diariopanorama
",2,1,0,0,2,0,0
"@lfp1875  @hectoryb  ya  son  4  horas  #sinluz  en  #ciudadbolivar  y  semanas  #sinagua  10  53  pm
",4,1,0,0,0,0,1
"@luisgonzaloprz  #sinluz  desde  el  estado  lara
",1,1,0,0,0,1,0
"@traffivalencia  en  que  bomba  hay  gasolina  #valencia  #singasolina    #16dic
",2,0,0,1,1,1,0
"@vpitv  @mariacquintero  san  francisco  #sinluz
",1,1,0,0,0,0,0
"@vtvcanal8  @emmacaroagurto  @michelcaballero  en  san  cristobal  estamos  #sinluz  desde  las  6am    y  los  apagones  desde  marzo    #singas  desde  enero    magnana  estaremos  #sinagua    ya  lo  anunciaron  y  #singasolina  de  manera  normal    desde  hace  agnos
",6,1,1,1,0,2,1
"@willy_casanova  @nicolasmaduro  que  paso  con  hidrolago  no  bombea  agua  en  cuatricentenario  desde  hace  12  dias  los  cortes  #sinluz    estan  a  la  orden  del  dia  necesitamos  agua  por  favor
",1,1,0,0,2,0,0
"a  las  5  44  am    aun  no  ha  llegado  la  gandola  con  gasolina    no  sabemos  a  que  hora  comenzaran  a  trabajar  los  empleados  de  la  estacion  de  servicio    asi  se  vive  #singasolina
",1,0,0,2,1,0,0
"asi  desalojan  el  centro  comercial  san  ignacio  por  el  #apagon      este  se  trata  de  la  peor  falla  electrica  desde  el  pasado  10  de  abril  #sinluz  video    cortesia    
",1,2,0,0,1,0,0
"buenas  tardes  @corpoelecinfo  se  mantiene  el  no  suministro  de  energia  electrica  en  la  esquina  de  delicias  parroquia  san  juan  caracas    seguimos  #sinluz  quedamos  atentos  a  sus  gestiones  gracias
",1,2,0,0,1,0,0
"colinas  de  bello  monte  #sinluz  12  25  pm
",2,1,0,0,0,0,0
"dios  si  nos  devolves  la  loooz      me  vuelvo  provida    heterosexual      catolico  apostolico  romano  y  practicamente      homofobico  y  machirulo      te  va  todo  eso      #sinluz
",0,1,0,0,1,0,0
"en  valle  de  la  pascua  la  situacion  de  la  gasolina  es  alarmante    #singasolina
",1,0,0,2,2,0,0
"en  walker  martinez  con  tobalaba    la  florida  #sinluz
",1,1,0,0,0,0,0
"hoy  me  desperte  y  amanecimos  #sinagua  #singasolina  #singas  yo  me  pregunto  en  una  sociedad  tan  moderna  en  venezuela  pasamos  estas  penurias        #queremosvidadigna  #mujeresdeltachira
",1,0,1,1,2,0,1
"hoy  toca  ramen  a  la  luz  de  una  vela  #sinluz  #lptm
",0,1,0,0,1,0,0
"madrugada  #sinluz  y  magnana  a  despertarse  para  hacer  la  cola  de  la  #gasolina  no  habra  un  almuerzo  decente  al  retornar  con  suerte  alrededor  de  las  3  o  4pm  y  el  tanque  a  medio  llenar  con  solo  30  litros    puede  que  si  ya  llego  la  luz    logre  cenar  algo  caliente
",1,1,0,1,2,0,0
"mas  del  75%  de  maracaibo  se  encuentra  a  esta  hora  #sinluz    a  la  penumbra  se  suman  varios  municipios  del  zulia    si  usted  esta  a  esta  hora  sin  luz    no  tiene  agua    gas  ni  gasolina  para  moverse    organice  una  protesta  en  su  comunidad  y  que  el  pueblo  arrecho  reclame  sus  derechos
",2,1,0,0,3,0,0
"no  soporto  el  caos  que  se  ha  vuelto  mi  maracaibo    el  calor  esta  brutal  y  #sinluz    no  puedo  moverme  porque  no  hay  gasolina    tengo  muy  poca  y  la  unica  estacion  que  vi  abierta  las  colas  kilometricas    de  verdad  hoy  no  tengo  paciencia
",1,1,0,1,4,0,0
"pzo  #singasolinamcb  #singasolina  cbv  #singasolina  ptl  #singasolina#ccs  #congasolina    que  cosas  no
",3,0,0,4,1,0,0
"que  gran  invento  el  celular  #sinluz
",0,1,0,0,1,0,0
"valera  estado  trujillo  ya  cuenta  con  servicio  electrico    #sinluz  falta  el  agua    el  gas    la  gasolina    la  seguridad  la  salud    educacion    transporte    pero  por  algo  se  empieza      
",1,1,1,1,1,0,1
"y  ahora  y  para  variar  desde  las  2pm  #sinluz  #tachira  #sancristobal
",2,1,0,0,0,0,0
